                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.65371,                0.71429,                      1,                0.59782,             0.00023283,             0.00023283,             0.00023283
                      2,                0.32718,                0.90476,                      1,                0.44141,             0.00044752,             0.00044752,             0.00044752
                      3,                0.18218,                0.95238,                      1,                0.36385,             0.00063865,             0.00063865,             0.00063865
                      4,                0.23935,                0.97619,                      1,                0.34009,             0.00060797,             0.00060797,             0.00060797
                      5,                0.12327,                      1,                      1,                0.34318,             0.00060797,             0.00060797,             0.00060797
                      6,                0.13155,                0.94048,                      1,                0.36776,             0.00057263,             0.00057263,             0.00057263
                      7,                0.13858,                0.91667,                      1,                 0.3929,             0.00053728,             0.00053728,             0.00053728
                      8,                0.08146,                0.96429,                      1,                0.36255,             0.00050194,             0.00050194,             0.00050194
                      9,                0.12456,                0.94048,                      1,                0.37524,              0.0004666,              0.0004666,              0.0004666
                     10,                0.08966,                0.95238,                      1,                 0.3724,             0.00043126,             0.00043126,             0.00043126
                     11,                0.08044,                0.97619,                      1,                0.35693,             0.00039591,             0.00039591,             0.00039591
                     12,                0.13569,                 0.9881,                      1,                0.35449,             0.00036057,             0.00036057,             0.00036057
                     13,                0.06603,                0.95238,                      1,                0.35693,             0.00032523,             0.00032523,             0.00032523
                     14,                0.06738,                0.96429,                      1,                0.35026,             0.00028988,             0.00028988,             0.00028988
                     15,                0.04123,                0.97619,                      1,                0.34725,             0.00025454,             0.00025454,             0.00025454
                     16,                0.03723,                0.97619,                      1,                0.33968,              0.0002192,              0.0002192,              0.0002192
                     17,                0.04568,                0.97619,                      1,                0.33952,             0.00018385,             0.00018385,             0.00018385
                     18,                0.03875,                0.97619,                      1,                0.34668,             0.00014851,             0.00014851,             0.00014851
                     19,                0.08064,                0.97619,                      1,                0.33594,             0.00011317,             0.00011317,             0.00011317
                     20,                0.04678,                 0.9881,                      1,                0.33529,             7.7826e-05,             7.7826e-05,             7.7826e-05
