                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7027,                 3.5695,                 4.0868,                0.00403,                0.23567,                0.00835,                0.00225,                 3.6391,                 3.7113,                 3.9386,             0.00065972,             0.00065972,             0.00065972
                      2,                 3.2748,                 3.3755,                 3.4803,                0.04085,                0.03822,                0.00965,                0.00288,                 2.9396,                  6.021,                 3.2248,              0.0013139,              0.0013139,              0.0013139
                      3,                 3.0224,                 3.2816,                 3.1151,                0.04774,                0.09027,                0.02093,                 0.0059,                 2.7841,                 3.8298,                 3.0032,              0.0019555,              0.0019555,              0.0019555
                      4,                 2.8883,                 3.1756,                 2.9179,                0.04501,                0.11401,                0.02503,                0.00841,                 2.7193,                 4.7371,                 2.9138,              0.0019434,              0.0019434,              0.0019434
                      5,                 2.7965,                 3.0516,                 2.7576,                0.08546,                0.09045,                0.02905,                0.00923,                 2.7149,                 3.4094,                 2.8156,              0.0019434,              0.0019434,              0.0019434
                      6,                 2.6549,                 2.9109,                 2.6346,                0.11482,                0.11083,                 0.0451,                0.01372,                 2.6102,                 3.5288,                 2.8134,              0.0019246,              0.0019246,              0.0019246
                      7,                 2.5748,                 2.8217,                 2.5567,                0.12307,                0.13694,                0.06749,                0.02236,                 2.4915,                 3.0395,                 2.6305,              0.0019057,              0.0019057,              0.0019057
                      8,                 2.4985,                 2.7191,                 2.4687,                0.19449,                0.18344,                0.11372,                0.04352,                 2.3618,                 2.9833,                 2.4998,              0.0018869,              0.0018869,              0.0018869
                      9,                 2.4181,                 2.6021,                 2.3908,                0.25047,                0.19427,                0.15522,                0.06179,                  2.259,                 2.7171,                 2.4678,               0.001868,               0.001868,               0.001868
                     10,                 2.3703,                  2.499,                 2.3037,                0.40404,                0.25541,                0.24162,                0.09397,                 2.2413,                 2.5414,                 2.4199,              0.0018491,              0.0018491,              0.0018491
                     11,                 2.3109,                 2.4181,                 2.2543,                0.35755,                0.30382,                 0.2556,                0.10041,                 2.1738,                 2.3425,                 2.3031,              0.0018303,              0.0018303,              0.0018303
                     12,                 2.2692,                 2.3553,                 2.1901,                0.39261,                0.31465,                0.28056,                0.10949,                 2.1773,                 2.2995,                 2.3197,              0.0018114,              0.0018114,              0.0018114
                     13,                 2.2351,                 2.3292,                 2.1645,                0.42965,                0.32388,                0.30527,                0.12261,                 2.1469,                 2.3118,                 2.2663,              0.0017926,              0.0017926,              0.0017926
                     14,                 2.1944,                 2.2502,                  2.121,                0.45445,                0.34459,                 0.3502,                0.14272,                 2.1159,                 2.1985,                  2.225,              0.0017737,              0.0017737,              0.0017737
                     15,                 2.1707,                 2.1896,                 2.0953,                0.42563,                 0.3051,                0.31166,                0.13076,                 2.1036,                 2.2738,                 2.2314,              0.0017549,              0.0017549,              0.0017549
                     16,                 2.1221,                 2.1648,                 2.0661,                0.40522,                0.29812,                0.30652,                0.12712,                 2.1142,                 2.2043,                 2.2307,               0.001736,               0.001736,               0.001736
                     17,                 2.0772,                 2.1208,                 2.0341,                0.48944,                0.40318,                0.39502,                0.17766,                 1.9829,                 2.0224,                 2.0843,              0.0017171,              0.0017171,              0.0017171
                     18,                 2.1068,                 2.0854,                 2.0168,                 0.4756,                0.36624,                0.36413,                0.17018,                 1.9884,                 2.0882,                 2.1156,              0.0016983,              0.0016983,              0.0016983
                     19,                 2.0592,                 2.0549,                 1.9846,                0.51217,                0.40764,                0.43107,                0.19836,                 1.9194,                  1.956,                   2.05,              0.0016794,              0.0016794,              0.0016794
                     20,                 2.0521,                 2.0153,                  1.976,                0.52998,                0.41401,                0.43999,                0.19413,                 1.9443,                  1.904,                 2.0633,              0.0016606,              0.0016606,              0.0016606
                     21,                 2.0205,                 2.0054,                 1.9679,                0.55875,                0.41401,                0.45578,                0.20061,                 1.9307,                 1.8961,                 2.0359,              0.0016417,              0.0016417,              0.0016417
                     22,                 2.0136,                 1.9647,                 1.9222,                0.59363,                0.45032,                0.49902,                0.22774,                 1.8728,                 1.8697,                 1.9756,              0.0016229,              0.0016229,              0.0016229
                     23,                 1.9906,                 1.9699,                 1.9313,                 0.5382,                 0.4242,                0.45796,                0.22523,                 1.8253,                 1.8159,                 1.9648,               0.001604,               0.001604,               0.001604
                     24,                 1.9627,                 1.8845,                 1.8749,                0.59998,                0.45187,                0.50644,                0.23284,                 1.8889,                 1.7625,                 1.9617,              0.0015851,              0.0015851,              0.0015851
                     25,                 1.9872,                 1.8805,                 1.8824,                0.56418,                0.44277,                0.47486,                0.22004,                 1.8803,                 1.7805,                 1.9639,              0.0015663,              0.0015663,              0.0015663
                     26,                 1.9425,                 1.8717,                 1.8745,                0.62779,                0.44076,                0.50597,                  0.236,                 1.9187,                 1.7279,                 1.9765,              0.0015474,              0.0015474,              0.0015474
                     27,                 1.9468,                 1.8505,                 1.8684,                0.62551,                0.44522,                0.50537,                0.23981,                 1.8852,                 1.7412,                 1.9776,              0.0015286,              0.0015286,              0.0015286
                     28,                 1.9283,                 1.8135,                 1.8375,                0.61486,                0.46752,                 0.5227,                0.24097,                 1.8912,                 1.7373,                 1.9559,              0.0015097,              0.0015097,              0.0015097
                     29,                 1.9232,                 1.8161,                 1.8452,                0.66069,                 0.4758,                 0.5467,                0.26541,                 1.8019,                 1.6421,                 1.8948,              0.0014909,              0.0014909,              0.0014909
                     30,                  1.931,                 1.7864,                 1.8131,                0.66278,                0.48696,                 0.5627,                0.27717,                 1.7896,                  1.644,                 1.8865,               0.001472,               0.001472,               0.001472
                     31,                 1.8874,                 1.7602,                 1.8004,                0.57412,                0.45541,                 0.4882,                0.25283,                 1.8086,                 1.7194,                 1.9169,              0.0014531,              0.0014531,              0.0014531
                     32,                 1.8632,                 1.7027,                 1.7941,                0.67085,                0.52357,                0.58649,                 0.2911,                 1.7932,                 1.5565,                 1.8719,              0.0014343,              0.0014343,              0.0014343
                     33,                 1.8774,                 1.7145,                 1.7954,                 0.6429,                 0.4908,                0.55406,                0.26706,                 1.7834,                 1.6133,                 1.8697,              0.0014154,              0.0014154,              0.0014154
                     34,                  1.876,                 1.7422,                 1.8062,                0.66347,                0.50382,                0.58353,                0.28538,                 1.7668,                 1.5567,                 1.8649,              0.0013966,              0.0013966,              0.0013966
                     35,                 1.8538,                 1.7024,                 1.7942,                0.65184,                0.53758,                0.59452,                0.29312,                 1.7898,                 1.4953,                 1.8785,              0.0013777,              0.0013777,              0.0013777
                     36,                 1.8311,                 1.6983,                 1.7991,                0.63096,                0.53822,                0.58388,                0.28478,                 1.7793,                 1.5635,                 1.8807,              0.0013589,              0.0013589,              0.0013589
