                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1127,                 4.0412,                 4.2508,                 0.0031,                0.81259,                0.00804,                0.00217,                 2.7706,                 3.7711,                 4.1554,             0.00025722,             0.00025722,             0.00025722
                      2,                 3.2793,                 3.7847,                 4.1521,                0.00328,                0.84462,                0.00597,                0.00213,                 2.7474,                  3.773,                 4.1319,             0.00052524,             0.00052524,             0.00052524
                      3,                 3.1568,                 3.6007,                 3.9654,                0.00315,                0.82708,                0.01379,                0.00442,                 2.7203,                 3.7614,                 4.1175,             0.00078968,             0.00078968,             0.00078968
                      4,                 3.0514,                 3.4944,                 3.7995,                0.00423,                0.81564,                 0.0071,                0.00203,                 2.9083,                 3.9632,                 4.3704,              0.0010505,              0.0010505,              0.0010505
                      5,                 3.0426,                 3.3266,                 3.6487,                0.78521,                0.13333,                0.13854,                0.03174,                 2.6006,                 3.8094,                 3.7139,              0.0013078,              0.0013078,              0.0013078
                      6,                 2.9683,                 3.3517,                  3.536,                0.01853,                0.06102,                0.00959,                0.00255,                 2.9996,                 4.7598,                 5.8844,              0.0013818,              0.0013818,              0.0013818
                      7,                 2.8515,                 3.3112,                  3.462,                0.43077,                0.16667,                0.19483,                0.04717,                 2.8173,                 7.2919,                 4.4773,              0.0013818,              0.0013818,              0.0013818
                      8,                 2.8064,                 3.2362,                 3.3809,                0.00707,                0.13654,                0.00604,                0.00183,                 3.1067,                 17.905,                  4.339,              0.0013724,              0.0013724,              0.0013724
                      9,                 2.7631,                 3.1934,                 3.3253,                0.36034,                0.04653,                0.00979,                0.00232,                 2.9234,                 11.687,                  5.404,               0.001363,               0.001363,               0.001363
                     10,                 2.7472,                 3.2767,                 3.2848,                0.35132,                0.23509,                 0.0212,                0.00574,                 2.6299,                 5.6689,                 3.5382,              0.0013535,              0.0013535,              0.0013535
                     11,                 2.7305,                 3.1519,                 3.2478,                0.04288,                0.15538,                0.05696,                0.01601,                 2.5967,                 6.5729,                 3.2717,              0.0013441,              0.0013441,              0.0013441
                     12,                 2.6525,                 3.1108,                 3.1974,                0.80475,                0.13333,                0.18111,                0.06993,                 2.4208,                 3.2695,                 3.1688,              0.0013347,              0.0013347,              0.0013347
                     13,                 2.5625,                  3.028,                 3.1602,                0.20341,                0.15309,                0.12213,                0.03536,                 2.4454,                 5.0834,                 3.2557,              0.0013253,              0.0013253,              0.0013253
                     14,                 2.6122,                 3.0751,                 3.1658,                0.13915,                0.14716,                0.10703,                0.02792,                 2.6143,                 6.4974,                 3.2281,              0.0013158,              0.0013158,              0.0013158
                     15,                 2.5439,                 3.0547,                  3.048,                0.07851,                0.49598,                0.14308,                0.04586,                 2.4203,                 5.6073,                 3.1014,              0.0013064,              0.0013064,              0.0013064
                     16,                 2.4422,                   2.91,                 3.0493,                0.20478,                0.14569,                0.17525,                0.04805,                 2.2961,                 3.0808,                  3.205,               0.001297,               0.001297,               0.001297
                     17,                 2.3949,                 2.8967,                 3.0148,                0.38818,                0.33387,                0.37316,                0.13486,                 2.2896,                  2.724,                 2.9992,              0.0012875,              0.0012875,              0.0012875
                     18,                 2.3704,                 2.8632,                 2.9485,                0.45921,                0.36804,                 0.3132,                0.09117,                 2.3478,                 2.6884,                 3.0074,              0.0012781,              0.0012781,              0.0012781
                     19,                 2.3184,                  2.815,                 2.8866,                0.49594,                0.36499,                0.41653,                0.12435,                  2.355,                 2.7849,                 2.9531,              0.0012687,              0.0012687,              0.0012687
                     20,                 2.3165,                 2.8567,                 2.8764,                0.65376,                0.25793,                0.38118,                0.13726,                 2.2596,                 2.6865,                 2.9747,              0.0012592,              0.0012592,              0.0012592
                     21,                 2.1967,                 2.7523,                 2.8016,                0.50776,                0.34879,                0.31109,                0.13345,                 2.1534,                  2.492,                 2.9457,              0.0012498,              0.0012498,              0.0012498
                     22,                 2.2496,                 2.7133,                 2.8258,                0.53577,                0.48429,                0.46349,                0.20433,                 2.0816,                 2.9005,                 2.8224,              0.0012404,              0.0012404,              0.0012404
                     23,                 2.1794,                 2.6494,                 2.7582,                0.36045,                0.25179,                0.26573,                 0.0976,                  2.076,                 2.9718,                 2.9186,              0.0012309,              0.0012309,              0.0012309
                     24,                 2.1801,                 2.6825,                 2.7209,                0.39337,                 0.4034,                0.32562,                0.13383,                 2.0319,                 3.3315,                 2.7249,              0.0012215,              0.0012215,              0.0012215
                     25,                 2.1072,                 2.5665,                 2.6641,                  0.304,                0.51833,                0.36442,                0.14325,                 2.0859,                 3.8131,                 2.7532,              0.0012121,              0.0012121,              0.0012121
                     26,                 2.0535,                 2.5262,                 2.6311,                0.32763,                0.36102,                0.33067,                  0.151,                 1.9072,                 3.0013,                 2.8582,              0.0012026,              0.0012026,              0.0012026
                     27,                 2.0718,                 2.5234,                 2.6362,                0.24768,                0.51431,                0.38652,                0.16505,                 1.8845,                 2.3827,                  2.595,              0.0011932,              0.0011932,              0.0011932
                     28,                 2.0455,                 2.5136,                 2.5661,                0.71301,                0.37293,                0.44773,                0.19363,                 1.9188,                   2.53,                 2.6298,              0.0011838,              0.0011838,              0.0011838
                     29,                 2.0101,                 2.4195,                 2.5147,                 0.3635,                0.53077,                0.48028,                0.23757,                 1.8684,                 2.4766,                 2.5791,              0.0011744,              0.0011744,              0.0011744
                     30,                  2.037,                 2.4686,                  2.559,                0.69188,                0.36653,                0.46535,                0.20353,                 1.8694,                 2.2977,                 2.5675,              0.0011649,              0.0011649,              0.0011649
                     31,                 1.9534,                  2.395,                 2.4948,                0.75901,                0.36231,                 0.4587,                0.21716,                 1.9121,                 3.5838,                 2.5517,              0.0011555,              0.0011555,              0.0011555
                     32,                 1.9847,                 2.3819,                 2.4818,                0.59923,                0.31309,                0.39872,                0.17026,                 1.8267,                 3.2927,                 2.5168,              0.0011461,              0.0011461,              0.0011461
                     33,                 1.9518,                 2.2834,                 2.4873,                0.43766,                 0.3286,                0.38361,                0.17674,                 1.9595,                 3.0442,                 2.6394,              0.0011366,              0.0011366,              0.0011366
                     34,                  1.859,                 2.2517,                 2.4025,                0.46158,                0.42601,                0.48843,                0.22041,                 1.8096,                 2.3242,                 2.5264,              0.0011272,              0.0011272,              0.0011272
                     35,                 1.8586,                 2.2386,                 2.4074,                0.46526,                0.55934,                0.49029,                0.24473,                 1.7346,                 2.4978,                  2.499,              0.0011178,              0.0011178,              0.0011178
                     36,                 1.8526,                 2.2309,                  2.377,                0.72004,                0.44926,                0.53886,                0.28328,                 1.6814,                  2.104,                 2.4547,              0.0011083,              0.0011083,              0.0011083
                     37,                 1.8247,                  2.202,                 2.3394,                0.35523,                0.50169,                0.39684,                0.21277,                  1.689,                 2.2944,                 2.4137,              0.0010989,              0.0010989,              0.0010989
                     38,                 1.8479,                 2.1789,                 2.3653,                0.61505,                0.43097,                 0.3913,                0.20552,                 1.7338,                 2.2868,                 2.4194,              0.0010895,              0.0010895,              0.0010895
                     39,                 1.7313,                 2.0801,                 2.2565,                0.47952,                0.62312,                0.57344,                0.29991,                 1.6361,                 2.3419,                 2.2906,                0.00108,                0.00108,                0.00108
                     40,                 1.7449,                 2.0771,                 2.2761,                0.67398,                0.43314,                0.52549,                0.30334,                 1.6024,                 2.5348,                 2.2922,              0.0010706,              0.0010706,              0.0010706
                     41,                 1.7928,                 2.0387,                 2.2557,                0.50079,                0.54272,                0.49452,                0.26888,                 1.7069,                 2.1846,                 2.3596,              0.0010612,              0.0010612,              0.0010612
                     42,                 1.7635,                 2.0278,                 2.2318,                0.56041,                0.58879,                0.65516,                 0.3147,                 1.8947,                 1.8897,                 2.4475,              0.0010517,              0.0010517,              0.0010517
                     43,                 1.7631,                 2.0904,                 2.2576,                0.61711,                0.46878,                0.56317,                0.28968,                 1.6018,                 2.4777,                 2.3407,              0.0010423,              0.0010423,              0.0010423
                     44,                 1.7055,                 1.9716,                  2.217,                0.56396,                0.68878,                0.71212,                0.35945,                 1.4775,                 1.9805,                 2.2022,              0.0010329,              0.0010329,              0.0010329
                     45,                 1.6803,                 1.9825,                 2.1969,                0.58681,                0.63226,                0.65525,                 0.3572,                 1.4418,                 1.8293,                 2.2039,              0.0010234,              0.0010234,              0.0010234
                     46,                 1.7261,                 1.9953,                 2.2543,                0.50667,                 0.3251,                0.36135,                0.18611,                 1.6267,                 3.1492,                 2.4795,               0.001014,               0.001014,               0.001014
