                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3034,                 3.8701,                 4.2452,                0.00242,                0.62921,                0.00691,                 0.0024,                 3.3033,                 4.3421,                 4.1505,                0.00038,                0.00038,                0.00038
                      2,                 3.1813,                  3.732,                 4.1317,                0.00234,                0.60674,                0.00571,                0.00177,                  3.242,                 4.3419,                 4.0772,             0.00077298,             0.00077298,             0.00077298
                      3,                 3.1456,                 3.6186,                 3.9834,                0.00235,                0.61798,                0.01792,                0.00438,                 3.3276,                 4.5485,                 3.9973,              0.0011588,              0.0011588,              0.0011588
                      4,                 3.0994,                 3.5275,                 3.8065,                0.00271,                0.69663,                0.05634,                0.02421,                 3.2872,                 3.9203,                 3.9953,              0.0015373,              0.0015373,              0.0015373
                      5,                 3.0681,                 3.5345,                 3.6889,                0.14552,                0.05618,                0.03273,                0.00833,                 3.0354,                 3.4861,                 3.7307,              0.0019087,              0.0019087,              0.0019087
                      6,                 2.9488,                 3.4233,                 3.5246,                0.00369,                0.65169,                0.00342,                 0.0014,                 2.9089,                    inf,                 4.8353,                0.00191,                0.00191,                0.00191
                      7,                 2.9245,                 3.4634,                 3.4917,                0.03936,                0.06742,                0.01391,                0.00345,                 3.0375,                 7.3436,                 4.5186,                0.00191,                0.00191,                0.00191
                      8,                 2.8513,                 3.3701,                 3.3756,                0.03695,                0.02247,                0.02505,                 0.0047,                 2.9826,                 4.9625,                 3.4958,               0.001892,               0.001892,               0.001892
                      9,                 2.8081,                 3.2369,                 3.3126,                0.01933,                0.33708,                0.01256,                0.00339,                 2.8706,                  4.561,                 3.4861,               0.001874,               0.001874,               0.001874
                     10,                 2.7695,                 3.2984,                  3.302,                0.06237,                0.17978,                0.03718,                0.00823,                 2.7471,                 3.7821,                 3.3908,               0.001856,               0.001856,               0.001856
                     11,                  2.741,                 3.2824,                 3.2667,                 0.1106,                 0.1573,                0.08064,                 0.0259,                 3.0263,                  3.576,                 3.8234,               0.001838,               0.001838,               0.001838
